time,price
1564617600,10091
1564621200,10052
1564624800,10019
1564628400,10034.5
1564632000,10014
1564635600,9985
1564639200,9936.5
1564642800,9946
1564646400,9995.5
1564650000,9956
1564653600,9963.5
1564657200,9944
1564660800,9973.5
1564664400,10034.5
1564668000,10014
1564671600,10005.5
1564675200,10009
1564678800,10069
1564682400,10097.5
1564686000,10250
1564689600,10297
1564693200,10439
1564696800,10443
1564700400,10396.5
1564704000,10431
1564707600,10400
1564711200,10402
1564714800,10407
1564718400,10364
1564722000,10432
1564725600,10449
1564729200,10512
1564732800,10545.5
1564736400,10495.5
1564740000,10490
1564743600,10527
1564747200,10505.5
1564750800,10553
1564754400,10540.5
1564758000,10595
1564761600,10635
1564765200,10432.5
1564768800,10471
1564772400,10436
1564776000,10417
1564779600,10377.5
1564783200,10426
1564786800,10529
1564790400,10555.5
1564794000,10530
1564797600,10630
1564801200,10791
1564804800,10831
1564808400,10862
1564812000,10821
1564815600,10803.5
1564819200,10779
1564822800,10787
1564833600,10719
1564840800,10830
1564844400,10772
1564848000,10805.5
1564851600,10804.5
1564855200,10829
1564858800,10898.5
1564876800,10850
1564891200,10751
1564894800,10640.5
1564898400,10702
1564909200,10705.5
1564920000,10677
1564930800,10893
1564934400,10952.5
1564941600,10925
1564952400,10931
1564956000,11007
1564963200,11063.5
1564966800,11256.5
1564970400,11517.5
1564974000,11611
1564981200,11557
1564984800,11568.5
1564988400,11692.5
1564992000,11743
1564995600,11769
1564999200,11750
1565002800,11755.5
1565006400,11826
1565010000,11788
1565013600,11760
1565017200,11765.5
1565020800,11808.5
1565024400,11896
1565031600,11802
1565035200,11729
1565038800,11765
1565042400,11771
1565046000,11783
1565049600,11770
1565053200,11726
1565056800,11606
1565064000,11664
1565067600,11698
1565071200,11804
1565074800,12202
1565078400,12199
1565082000,12244
1565085600,12263.5
1565089200,11723
1565092800,11761.5
1565100000,11731
1565103600,11711
1565110800,11776.5
1565114400,11708.5
1565118000,11737.5
1565121600,11704
1565125200,11588
1565128800,11342
1565132400,11423
1565136000,11432
1565143200,11569
1565154000,11698
1565157600,11585
1565161200,11619
1565168400,11558
1565175600,11624
1565179200,11752.5
1565182800,11787
1565190000,11682.5
1565193600,11575
1565197200,11633
1565200800,11757.5
1565208000,11864.5
1565211600,11908.5
1565215200,11958.5
1565218800,11869.5
1565222400,11900
1565226000,11893.5
1565229600,11908.5
1565233200,11986
1565236800,11904
1565240400,11903
1565244000,11891.5
1565247600,11838.5
1565251200,11974.5
1565254800,11850
1565258400,11856.5
1565262000,11808
1565265600,11773.5
1565269200,11839.5
1565272800,11639.5
1565280000,11731
1565283600,11664
1565290800,11630.5
1565298000,11639
1565301600,11759.5
1565305200,11912
1565308800,12005.5
1565312400,11920
1565316000,11861
1565323200,11907.5
1565326800,11831.5
1565334000,11857
1565337600,11823
1565341200,11808.5
1565344800,11680
1565355600,11787.5
1565359200,11720
1565362800,11733
1565366400,11733
1565373600,11807
1565377200,11852.5
1565380800,11863.5
1565388000,11935
1565395200,11910.5
1565398800,11894
1565402400,11771.5
1565424000,11847.5
1565434800,11800
1565438400,11321
1565442000,11420.5
1565445600,11411.5
1565452800,11347.5
1565456400,11325
1565460000,11355.5
1565463600,11284
1565470800,11288
1565474400,11289.5
1565478000,11320
1565496000,11383
1565499600,11351
1565510400,11351.5
1565514000,11281
1565517600,11324.5
1565521200,11346
1565524800,11441.5
1565528400,11413
1565532000,11381.5
1565535600,11373.5
1565542800,11372
1565553600,11334
1565557200,11428
1565560800,11504
1565564400,11519.5
