max_ltv,fee_model,borrower_demand,loan_start_type,loan_duration_type,volatility_factor,start_time,seed,mc_iteration,lending_pool,cycle_number,pnl,liquidity_change,pnl_ratio,liquidity_change_ratio,total_earned_fees,total_reclaimed_collateral,collateral_value,initial_liquidity,final_liquidity,average_utilization,normalized_utilization,num_lans,hist-active_loans-ltv_0.0_0.1,hist-active_loans-ltv_0.1_0.2,hist-active_loans-ltv_0.2_0.3,hist-active_loans-ltv_0.3_0.4,hist-active_loans-ltv_0.4_0.5,hist-active_loans-ltv_0.5_0.6,hist-active_loans-ltv_0.6_0.7,hist-active_loans-ltv_0.7_0.8,hist-active_loans-ltv_0.8_0.9,hist-active_loans-ltv_0.9_1.0,hist-active_loans-duration_0.0_0.1,hist-active_loans-duration_0.1_0.2,hist-active_loans-duration_0.2_0.3,hist-active_loans-duration_0.3_0.4,hist-active_loans-duration_0.4_0.5,hist-active_loans-duration_0.5_0.6,hist-active_loans-duration_0.6_0.7,hist-active_loans-duration_0.7_0.8,hist-active_loans-duration_0.8_0.9,hist-active_loans-duration_0.9_1.0,hist-active_loans-start_0.0_0.1,hist-active_loans-start_0.1_0.2,hist-active_loans-start_0.2_0.3,hist-active_loans-start_0.3_0.4,hist-active_loans-start_0.4_0.5,hist-active_loans-start_0.5_0.6,hist-active_loans-start_0.6_0.7,hist-active_loans-start_0.7_0.8,hist-active_loans-start_0.8_0.9,hist-active_loans-start_0.9_1.0,hist-active_loans-size_1000_1585,hist-active_loans-size_1585_2512,hist-active_loans-size_2512_3981,hist-active_loans-size_3981_6310,hist-active_loans-size_6310_10000,hist-active_loans-size_10000_15849,hist-active_loans-size_15849_25119,hist-active_loans-size_25119_39811,hist-active_loans-size_39811_63096,hist-active_loans-size_63096_100000,hist-defaulted_loans-ltv_0.0_0.1,hist-defaulted_loans-ltv_0.1_0.2,hist-defaulted_loans-ltv_0.2_0.3,hist-defaulted_loans-ltv_0.3_0.4,hist-defaulted_loans-ltv_0.4_0.5,hist-defaulted_loans-ltv_0.5_0.6,hist-defaulted_loans-ltv_0.6_0.7,hist-defaulted_loans-ltv_0.7_0.8,hist-defaulted_loans-ltv_0.8_0.9,hist-defaulted_loans-ltv_0.9_1.0,hist-defaulted_loans-duration_0.0_0.1,hist-defaulted_loans-duration_0.1_0.2,hist-defaulted_loans-duration_0.2_0.3,hist-defaulted_loans-duration_0.3_0.4,hist-defaulted_loans-duration_0.4_0.5,hist-defaulted_loans-duration_0.5_0.6,hist-defaulted_loans-duration_0.6_0.7,hist-defaulted_loans-duration_0.7_0.8,hist-defaulted_loans-duration_0.8_0.9,hist-defaulted_loans-duration_0.9_1.0,hist-defaulted_loans-start_0.0_0.1,hist-defaulted_loans-start_0.1_0.2,hist-defaulted_loans-start_0.2_0.3,hist-defaulted_loans-start_0.3_0.4,hist-defaulted_loans-start_0.4_0.5,hist-defaulted_loans-start_0.5_0.6,hist-defaulted_loans-start_0.6_0.7,hist-defaulted_loans-start_0.7_0.8,hist-defaulted_loans-start_0.8_0.9,hist-defaulted_loans-start_0.9_1.0,hist-defaulted_loans-size_1000_1585,hist-defaulted_loans-size_1585_2512,hist-defaulted_loans-size_2512_3981,hist-defaulted_loans-size_3981_6310,hist-defaulted_loans-size_6310_10000,hist-defaulted_loans-size_10000_15849,hist-defaulted_loans-size_15849_25119,hist-defaulted_loans-size_25119_39811,hist-defaulted_loans-size_39811_63096,hist-defaulted_loans-size_63096_100000,hist-repaid_loans-ltv_0.0_0.1,hist-repaid_loans-ltv_0.1_0.2,hist-repaid_loans-ltv_0.2_0.3,hist-repaid_loans-ltv_0.3_0.4,hist-repaid_loans-ltv_0.4_0.5,hist-repaid_loans-ltv_0.5_0.6,hist-repaid_loans-ltv_0.6_0.7,hist-repaid_loans-ltv_0.7_0.8,hist-repaid_loans-ltv_0.8_0.9,hist-repaid_loans-ltv_0.9_1.0,hist-repaid_loans-duration_0.0_0.1,hist-repaid_loans-duration_0.1_0.2,hist-repaid_loans-duration_0.2_0.3,hist-repaid_loans-duration_0.3_0.4,hist-repaid_loans-duration_0.4_0.5,hist-repaid_loans-duration_0.5_0.6,hist-repaid_loans-duration_0.6_0.7,hist-repaid_loans-duration_0.7_0.8,hist-repaid_loans-duration_0.8_0.9,hist-repaid_loans-duration_0.9_1.0,hist-repaid_loans-start_0.0_0.1,hist-repaid_loans-start_0.1_0.2,hist-repaid_loans-start_0.2_0.3,hist-repaid_loans-start_0.3_0.4,hist-repaid_loans-start_0.4_0.5,hist-repaid_loans-start_0.5_0.6,hist-repaid_loans-start_0.6_0.7,hist-repaid_loans-start_0.7_0.8,hist-repaid_loans-start_0.8_0.9,hist-repaid_loans-start_0.9_1.0,hist-repaid_loans-size_1000_1585,hist-repaid_loans-size_1585_2512,hist-repaid_loans-size_2512_3981,hist-repaid_loans-size_3981_6310,hist-repaid_loans-size_6310_10000,hist-repaid_loans-size_10000_15849,hist-repaid_loans-size_15849_25119,hist-repaid_loans-size_25119_39811,hist-repaid_loans-size_39811_63096,hist-repaid_loans-size_63096_100000,hist-loans-ltv_0.0_0.1,hist-loans-ltv_0.1_0.2,hist-loans-ltv_0.2_0.3,hist-loans-ltv_0.3_0.4,hist-loans-ltv_0.4_0.5,hist-loans-ltv_0.5_0.6,hist-loans-ltv_0.6_0.7,hist-loans-ltv_0.7_0.8,hist-loans-ltv_0.8_0.9,hist-loans-ltv_0.9_1.0,hist-loans-duration_0.0_0.1,hist-loans-duration_0.1_0.2,hist-loans-duration_0.2_0.3,hist-loans-duration_0.3_0.4,hist-loans-duration_0.4_0.5,hist-loans-duration_0.5_0.6,hist-loans-duration_0.6_0.7,hist-loans-duration_0.7_0.8,hist-loans-duration_0.8_0.9,hist-loans-duration_0.9_1.0,hist-loans-start_0.0_0.1,hist-loans-start_0.1_0.2,hist-loans-start_0.2_0.3,hist-loans-start_0.3_0.4,hist-loans-start_0.4_0.5,hist-loans-start_0.5_0.6,hist-loans-start_0.6_0.7,hist-loans-start_0.7_0.8,hist-loans-start_0.8_0.9,hist-loans-start_0.9_1.0,hist-loans-size_1000_1585,hist-loans-size_1585_2512,hist-loans-size_2512_3981,hist-loans-size_3981_6310,hist-loans-size_6310_10000,hist-loans-size_10000_15849,hist-loans-size_15849_25119,hist-loans-size_25119_39811,hist-loans-size_39811_63096,hist-loans-size_63096_100000,dist-loan_fees-ltv_0.0_0.1,dist-loan_fees-ltv_0.1_0.2,dist-loan_fees-ltv_0.2_0.3,dist-loan_fees-ltv_0.3_0.4,dist-loan_fees-ltv_0.4_0.5,dist-loan_fees-ltv_0.5_0.6,dist-loan_fees-ltv_0.6_0.7,dist-loan_fees-ltv_0.7_0.8,dist-loan_fees-ltv_0.8_0.9,dist-loan_fees-ltv_0.9_1.0,dist-loan_fees-duration_0.0_0.1,dist-loan_fees-duration_0.1_0.2,dist-loan_fees-duration_0.2_0.3,dist-loan_fees-duration_0.3_0.4,dist-loan_fees-duration_0.4_0.5,dist-loan_fees-duration_0.5_0.6,dist-loan_fees-duration_0.6_0.7,dist-loan_fees-duration_0.7_0.8,dist-loan_fees-duration_0.8_0.9,dist-loan_fees-duration_0.9_1.0,dist-loan_fees-start_0.0_0.1,dist-loan_fees-start_0.1_0.2,dist-loan_fees-start_0.2_0.3,dist-loan_fees-start_0.3_0.4,dist-loan_fees-start_0.4_0.5,dist-loan_fees-start_0.5_0.6,dist-loan_fees-start_0.6_0.7,dist-loan_fees-start_0.7_0.8,dist-loan_fees-start_0.8_0.9,dist-loan_fees-start_0.9_1.0,dist-loan_fees-size_1000_1585,dist-loan_fees-size_1585_2512,dist-loan_fees-size_2512_3981,dist-loan_fees-size_3981_6310,dist-loan_fees-size_6310_10000,dist-loan_fees-size_10000_15849,dist-loan_fees-size_15849_25119,dist-loan_fees-size_25119_39811,dist-loan_fees-size_39811_63096,dist-loan_fees-size_63096_100000
0.35,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95739,0,V2LendingPool,1,476.29403551248834,476.2940355131868,0.00047629403551248834,0.00047629403551318684,476.29403551335463,-6.821210263296962e-13,-7.386132798335546e-10,1000000,1000476.2940355132,0.4978811720103567,0.4991103874447218,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,29,0,0,0,0,0,0,0,3,3,4,4,8,7,7,4,1,6,12,7,5,1,5,2,2,1,0,4,4,4,3,4,8,1,6,4,3,2,7,3,29,0,0,0,0,0,0,0,3,3,4,4,8,7,7,4,1,6,12,7,5,1,5,2,2,1,0,4,4,4,3,4,8,1,6,4,3,4.760786811003688,108.32619559041777,39.29946949916633,323.90758361276676,0,0,0,0,0,0,0.0,7.542837751594864,31.992543277354955,9.461105647136709,19.377087580437053,80.18127059200214,71.499853904552,134.3234771682502,69.17552241855495,52.74033717347161,87.2749845492498,158.92390827860058,126.255601147593,49.050870240435245,26.737158964252536,12.41339861022902,5.341521667623681,10.020596425361504,0.27599563000909444,0.0,2.7547061389652594,4.028114896179836,7.615488481825376,6.888831767126076,16.043635901691395,45.659220060778026,13.427421895365274,103.54452495806538,129.91868796396264,146.41340344939522
0.35,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95740,1,V2LendingPool,1,499.3523052566452,499.35230525629595,0.0004993523052566452,0.0004993523052562959,499.35230525622,2.0605739337042905e-13,4.008797487891232e-10,1000000,1000499.3523052563,0.4974194853948465,0.49910382561105604,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,35,0,0,0,0,0,0,1,3,2,6,12,13,4,6,4,0,12,9,13,9,2,1,2,1,2,0,3,6,7,5,7,5,5,1,6,6,6,7,3,35,0,0,0,0,0,0,1,3,2,6,12,13,4,6,4,0,12,9,13,9,2,1,2,1,2,0,3,6,7,5,7,5,5,1,6,6,40.930846685736505,40.99693106921957,57.20214212310189,360.2223853781621,0,0,0,0,0,0,0.19793515792559896,20.53960375273363,2.6595439188869388,87.42696406127878,142.55970850138186,153.34820715420798,12.420506409311777,38.78949129855586,41.41034500193746,0.0,98.88671055000093,153.14629733167865,77.05565311770442,80.47147546764926,35.706589551120146,22.631468603599547,19.431584058401402,8.969865279246294,3.0526612968192017,0.0,2.545283218573824,7.527406054357112,12.022763614082237,14.864462754266189,24.455658307796067,40.959941347290595,45.91133539760636,13.847725923501843,133.0546866591628,204.16304197958286
0.35,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95741,2,V2LendingPool,1,475.43492134544067,475.4349213466048,0.00047543492134544064,0.0004754349213466048,475.4349213467564,-7.034373084024992e-13,-1.140024467362552e-09,1000000,1000475.4349213466,0.4875817421786722,0.4890753947706659,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,36,0,0,0,0,0,0,2,4,3,6,5,8,11,7,2,4,15,15,8,2,3,3,2,2,1,1,8,6,4,0,4,11,6,4,3,6,2,6,8,36,0,0,0,0,0,0,2,4,3,6,5,8,11,7,2,4,15,15,8,2,3,3,2,2,1,1,8,6,4,0,4,11,6,4,3,6,2.4284298537451248,104.64784163882166,42.84458622772613,325.51406362646355,0,0,0,0,0,0,8.006440390088738,15.002863432663915,5.1162614070830905,77.50974176701749,20.274119682042418,131.25854091166306,61.94572562626928,100.7884031961482,27.42714630061421,28.105678633166047,172.72446862819507,174.9948813604753,46.285255383260456,2.3100869574985934,32.58059509307966,14.146651584424276,24.787863418886545,4.511041246940255,0.40058487078037747,2.693492803215946,6.296099054945804,7.2866955806786855,6.587640482899896,0.0,21.25931581029851,67.56496101806134,68.15808472863745,63.45675998726047,60.364693033772305,174.460671650202
0.35,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95742,3,V2LendingPool,1,464.147748828982,464.14774882863276,0.000464147748828982,0.00046414774882863277,464.147748828407,2.8421709430404007e-13,3.732877459570533e-10,1000000,1000464.1477488286,0.4827906201186609,0.4842229452069214,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8,31,0,0,0,0,0,0,1,2,4,3,8,6,6,9,2,3,14,12,6,3,3,2,3,1,0,0,5,3,6,5,3,3,3,5,4,7,4,1,8,31,0,0,0,0,0,0,1,2,4,3,8,6,6,9,2,3,14,12,6,3,3,2,3,1,0,0,5,3,6,5,3,3,3,5,4,7,58.74856519764809,2.2907184553758877,92.73527052637382,310.37319464900906,0,0,0,0,0,0,5.120287767800416,31.92153809625745,40.16502597600307,8.884184992783284,70.33429456413435,52.00347730447325,61.36974176954647,113.03665385969454,9.653160321111844,71.65938417660227,138.79433817026532,103.80222466101304,62.709085776405715,60.77804392587693,34.12820517411921,22.802972410177247,22.914741031281668,18.218137679267812,0.0,0.0,3.612940036364124,2.4887680253650126,9.758568546978186,14.832588597344808,15.315867683710495,21.765121159784172,29.911773913744412,89.07984114371148,95.31893736406504,182.06334235733925
0.35,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95743,4,V2LendingPool,1,460.1371762492927,460.1371762495255,0.00046013717624929267,0.0004601371762495255,460.13717624947395,-2.4069635173873394e-13,-2.696358994567441e-10,1000000,1000460.1371762495,0.47823357708619885,0.4794838427543463,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,31,0,0,0,0,0,0,0,1,6,9,5,6,4,6,2,1,7,9,5,7,3,6,2,1,0,0,6,1,4,3,3,5,3,7,5,3,2,3,4,31,0,0,0,0,0,0,0,1,6,9,5,6,4,6,2,1,7,9,5,7,3,6,2,1,0,0,6,1,4,3,3,5,3,7,5,3,46.66648669060974,6.5954148910603765,61.34186485141699,345.5334098163867,0,0,0,0,0,0,0.0,9.070088402198996,19.29941992247202,75.05190784390787,29.02101520210114,44.268340771542796,98.53377106913722,121.61211014859198,62.27646036283006,1.0040625266917895,56.38458353409087,192.3682816996341,61.1534078078104,71.85024646561979,25.853031820580576,28.06660001988939,21.4324041599844,3.0286207418643376,0.0,0.0,3.6108095379706304,0.8744633093983594,7.318807301898165,6.355033033723999,14.586495784001574,26.359046998752177,33.161494498685606,89.30266593870924,127.18237750804613,151.385982338288
0.35,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95744,5,V2LendingPool,1,472.9511459687492,472.9511459682835,0.0004729511459687492,0.0004729511459682835,472.9511459683278,3.375077994860476e-13,4.814932234947601e-10,1000000,1000472.9511459683,0.4891057757924289,0.4906411366942977,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,32,0,0,0,0,0,0,0,1,7,8,6,7,3,4,8,1,16,8,6,3,2,4,3,2,1,0,4,6,3,6,3,4,3,9,3,4,4,3,6,32,0,0,0,0,0,0,0,1,7,8,6,7,3,4,8,1,16,8,6,3,2,4,3,2,1,0,4,6,3,6,3,4,3,9,3,4,53.90055530383361,25.263360177834453,61.23762988936526,332.54960059729444,0,0,0,0,0,0,0.0,2.6412308823877146,39.471575785196265,66.64465381004668,82.57622876718605,55.312006661900654,40.42404039445991,25.081462136343497,150.92873944819308,9.871208082613744,236.23136064285532,75.25272723118162,48.35170612646985,34.03561166581086,13.526072733978399,50.78500164937919,5.748598323476776,6.378836712787873,2.6412308823877146,0.0,3.1709287049944197,6.54930887597431,4.880302218567022,14.695922969841192,10.784990043423765,21.338156971814996,34.13590999130521,146.62787883839047,55.23990498067088,175.52784237334538
0.35,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95745,6,V2LendingPool,1,472.65999468404334,472.6599946836941,0.00047265999468404336,0.0004726599946836941,472.65999468367033,2.984279490192421e-13,3.4374283943302593e-10,1000000,1000472.6599946837,0.49056691527261154,0.49187791625303967,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,30,0,0,0,0,0,0,0,2,2,4,7,4,5,6,6,3,13,8,7,4,3,3,1,0,0,0,5,3,8,3,5,1,1,5,2,6,3,4,2,30,0,0,0,0,0,0,0,2,2,4,7,4,5,6,6,3,13,8,7,4,3,3,1,0,0,0,5,3,8,3,5,1,1,5,2,6,40.49517920468798,11.79351191938929,16.143966477227035,404.2273370823658,0,0,0,0,0,0,0.0,4.112920766192617,28.55676126979442,60.54962991436665,71.69325890639026,56.588769803327345,36.68158912154506,107.22554572973105,97.83477104263862,9.416748129684132,206.83523667119087,134.93576212088726,27.473197894705404,29.692549780472696,5.499473065602901,41.61182209682845,26.611953053982603,0.0,0.0,0.0,4.372413213900631,4.389322920818777,15.43509694866814,8.61025442596418,21.966391131395326,7.508144788762685,2.7307827958231528,95.07254076664623,48.59264998842079,263.9823977032703
0.35,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95746,7,V2LendingPool,1,454.3686701179249,454.3686701169936,0.00045436867011792493,0.0004543686701169936,454.3686701171874,5.151434834260726e-13,9.336259078799075e-10,1000000,1000454.368670117,0.47160511984457304,0.4728446165660966,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,21,0,0,0,0,0,0,2,1,0,4,5,4,10,3,4,3,14,8,5,3,4,0,1,1,0,0,4,6,1,4,1,4,5,3,5,3,4,5,6,21,0,0,0,0,0,0,2,1,0,4,5,4,10,3,4,3,14,8,5,3,4,0,1,1,0,0,4,6,1,4,1,4,5,3,5,3,60.367477849424525,17.487121135822612,50.26071473161929,326.25335640032097,0,0,0,0,0,0,0.2928359055540769,8.28178694475443,0.0,31.40452645012747,94.0000747169847,24.835857094809143,125.9734201915523,69.82645200884716,93.4002307011382,6.353486103419824,237.32850815092132,95.25672012840553,39.67510670543819,40.38400425041136,40.74989913707967,0.0,0.7880383685863805,0.1863933763448574,0.0,0.0,2.6922007769096705,6.479245895731381,1.053366445760593,12.987398193410826,3.4226723508744934,34.56491391865232,62.39845488204324,71.7251360775383,132.5087951103976,126.53648646586885
0.35,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95747,8,V2LendingPool,1,428.03228053392377,428.03228053380735,0.0004280322805339238,0.00042803228053380735,428.0322805338396,1.4921397450962104e-13,1.5554679700053118e-10,1000000,1000428.0322805338,0.4555509380412516,0.45663869882801605,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,18,0,0,0,0,0,0,0,0,2,0,5,3,3,6,1,2,7,5,3,6,1,0,0,0,0,0,1,2,3,2,1,0,2,4,4,3,1,2,1,18,0,0,0,0,0,0,0,0,2,0,5,3,3,6,1,2,7,5,3,6,1,0,0,0,0,0,1,2,3,2,1,0,2,4,4,3,11.292631276064235,25.88964395031371,0.8665067716949832,389.98349853576667,0,0,0,0,0,0,0.0,0.0,7.162264624921593,0.0,37.71728947233177,35.614948273723705,72.16598494514768,166.03876941944765,63.026689959289946,46.30633383897729,153.44715082095593,164.03909042514266,78.82072438353705,25.27566353650323,6.449651367700771,0.0,0.0,0.0,0.0,0.0,0.6464334016801044,1.5791200289158045,6.910059401916683,5.895224943010771,6.683924220510514,0.0,17.742282643765005,84.32120737435561,121.97485093900728,182.27917758067787
0.35,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95748,9,V2LendingPool,1,460.9595049179625,460.95950491318945,0.00046095950491796246,0.0004609595049131894,460.95950491334327,3.183231456205249e-12,4.8211904631407005e-09,1000000,1000460.9595049132,0.4760367446682183,0.47720693220830834,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,25,0,0,0,0,0,0,0,2,3,8,8,7,5,3,3,1,12,3,3,9,3,8,1,0,1,0,7,2,4,1,5,4,4,5,4,4,4,5,6,25,0,0,0,0,0,0,0,2,3,8,8,7,5,3,3,1,12,3,3,9,3,8,1,0,1,0,7,2,4,1,5,4,4,5,4,4,74.4561116850341,41.34170693650157,22.94895413259591,322.2127321592117,0,0,0,0,0,0,0.0,0.7406922630124788,17.253737443306072,65.67406846503535,107.69260655960458,92.85638518239378,69.64465507351325,18.705733396311913,86.91495436885938,1.4766721613064808,117.65931052623232,51.71238942184867,7.909756105390347,164.94682312742495,19.13023244159502,95.86198266024617,3.470193807698658,0.0,0.26881682290716397,0.0,4.531818867632872,2.6137701698496842,6.0313713842781365,0.4718754401053149,17.114808887586573,27.230436674902606,28.684043858717768,51.56668941488401,137.21625353760268,185.49843667778362
